Файл,Размер (байт),"Время сжатия (последняя попытка, сек)",Все времена попыток (сек)
test_100KB.bin,102400,0.010517120361328125,"[0.0110321044921875, 0.008751869201660156, 0.010517120361328125]"
test_1MB.bin,1048576,0.07458806037902832,"[0.08282804489135742, 0.07477092742919922, 0.07458806037902832]"
test_10MB.bin,10485760,0.8596758842468262,"[0.721250057220459, 0.7348670959472656, 0.8596758842468262]"
test_100MB.bin,104857600,7.458801984786987,"[7.533692836761475, 7.599252939224243, 7.458801984786987]"
test_1GB.bin,1073741824,75.58833003044128,"[76.18593502044678, 76.0160779953003, 75.58833003044128]"
