Файл,Размер (байт),"Время декомпрессии (последняя попытка, сек)",Все времена попыток (сек),Эквивалентность
test_100KB.bin,102400,0.002819061279296875,"[0.0035729408264160156, 0.002782106399536133, 0.002819061279296875]",True
test_1MB.bin,1048576,0.0034308433532714844,"[0.004458904266357422, 0.003454923629760742, 0.0034308433532714844]",True
test_10MB.bin,10485760,0.00921320915222168,"[0.009595155715942383, 0.009240865707397461, 0.00921320915222168]",True
test_100MB.bin,104857600,0.05114483833312988,"[0.09941291809082031, 0.05060625076293945, 0.05114483833312988]",True
test_1GB.bin,1073741824,1.6252920627593994,"[0.9686439037322998, 1.8411600589752197, 1.6252920627593994]",True
